#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-11T14:55:43 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-11T14:55:43	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/501/461&tab:{J/A+A/501/461/lens}&key:source=J/A+A/501/461&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/501/461/lens
#-order=I
#-out=SLACS
#-out=zl
#-out=zs
#-out=thetaE
#-out=thetae
#-out=SDSS
#SDSS=SDSS
#-out=Sloan
#Sloan=Sloan
#-out=Simbad
#Simbad=Simbad
#-out=MSalBC
#-out=E_MSalBC
#-out=e_MSalBC
#-out=MSalM
#-out=E_MSalM
#-out=e_MSalM
#-out=MChaBC
#-out=E_MChaBC
#-out=e_MChaBC
#-out=MKroM
#-out=E_MKroM
#-out=e_MKroM
#-out=fap
#-out=MSalBC2
#-out=E_MSalBC2
#-out=e_MSalBC2
#-out=MSalM2
#-out=E_MSalM2
#-out=e_MSalM2
#-out=MChaBC2
#-out=E_MChaBC2
#-out=e_MChaBC2
#-out=MKroM2
#-out=E_MKroM2
#-out=e_MKroM2
#-out=Mtotlen
#-out=e_Mtotlen
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35010461
#Name: J/A+A/501/461
#Title: Photometric masses of early-type lens galaxies (Grillo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/a+a/501/461	
#INFO	publisher=CDS	
#INFO	creator=Grillo C.	
#INFO	related_resource=bibcode:2009A&A...501..461G	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/501/461	
#INFO	publication_id=doi:10.26093/cds/vizier.35010461	
#INFO	publication_date=2017-05-30	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_501_461_lens:
#Name: J/A+A/501/461/lens
#Title: Spectroscopy, photometry, and lensing mass  measurements of the 57 early-type grade-A lens galaxies of  the SLACS survey
#Column	SLACS	(a10)	System name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	zl	(F6.3)	Lens redshift	[ucd=src.redshift]
#Column	zs	(F6.3)	Source redshift	[ucd=src.redshift]
#Column	thetaE	(F5.2)	Einstein angle of the lensing systems	[ucd=phys.angSize;src]
#Column	thetae	(F5.2)	Effective angle of the lensing systems	[ucd=phys.angSize;src]
#Column	SDSS	(A4)	Display the SDSS-DR7 data	[ucd=meta.ref.url]
#Column	Sloan	(a5)	SDSS data from Sloan site	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	MSalBC	(I3)	Photometric mass from Sal,BC model (1)	[ucd=phys.mass]
#Column	E_MSalBC	(I2)	Error on MSalBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC	(I2)	Error on MSalBC (lower limit)	[ucd=stat.error]
#Column	MSalM	(I3)	Photometric mass from Sal,M model (1)	[ucd=phys.mass]
#Column	E_MSalM	(I2)	Error on MSalM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM	(I2)	Error on MSalM (lower limit)	[ucd=stat.error]
#Column	MChaBC	(I2)	Photometric mass from Cha,BC model (1)	[ucd=phys.mass]
#Column	E_MChaBC	(I2)	Error on MChaBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC	(I2)	Error on MChaBC (lower limit)	[ucd=stat.error]
#Column	MKroM	(I2)	Photometric mass from Kro,M model (1)	[ucd=phys.mass]
#Column	E_MKroM	(I2)	Error on MKroM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM	(I2)	Error on MKroM (lower limit)	[ucd=stat.error]
#Column	fap	(F5.2)	Aperture factor	[ucd=arith.factor]
#Column	MSalBC2	(I2)	Photometric mass from Sal,BC model, for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MSalBC2	(I2)	Error on MSalBC2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC2	(I2)	Error on MSalBC2 (lower limit)	[ucd=stat.error]
#Column	MSalM2	(I2)	Photometric mass from Sal,M model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MSalM2	(I2)	Error on MSalM2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM2	(I2)	Error on MSalM2 (lower limit)	[ucd=stat.error]
#Column	MChaBC2	(I2)	Photometric mass from Cha,BC model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MChaBC2	(I1)	Error on MChaBC2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC2	(I1)	Error on MChaBC2 (lower limit)	[ucd=stat.error]
#Column	MKroM2	(I2)	Photometric mass from Kro,M model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MKroM2	(I2)	Error on MKroM2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM2	(I2)	Error on MKroM2 (lower limit)	[ucd=stat.error]
#Column	Mtotlen	(I2)	Total mass from gravitational lensing for R<=R_Ein_	[ucd=phys.mass]
#Column	e_Mtotlen	(I1)	rms uncertainty on Mtotlen	[ucd=stat.error]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
SLACS;zl;zs;thetaE;thetae;SDSS;Sloan;Simbad;MSalBC;E_MSalBC;e_MSalBC;MSalM;E_MSalM;e_MSalM;MChaBC;E_MChaBC;e_MChaBC;MKroM;E_MKroM;e_MKroM;fap;MSalBC2;E_MSalBC2;e_MSalBC2;MSalM2;E_MSalM2;e_MSalM2;MChaBC2;E_MChaBC2;e_MChaBC2;MKroM2;E_MKroM2;e_MKroM2;Mtotlen;e_Mtotlen;_RA;_DE
J1020+1122; 0.282; 0.553; 1.20; 1.59;SDSS;Sloan;Simbad; 37;15; 9; 30;17; 6;24; 6; 8;18;11; 3; 0.42;16; 6; 4;13; 7; 3;10;3;3; 8; 5; 1;34;3;155.11058;+11.37808
J1023+4230; 0.191; 0.696; 1.41; 1.77;SDSS;Sloan;Simbad; 38; 3; 7; 35; 2;10;22; 1; 4;23; 1; 8; 0.44;17; 1; 3;15; 1; 4;10;1;2;10; 1; 4;23;2;155.88442;+42.50050
J1029+0420; 0.104; 0.615; 1.01; 1.56;SDSS;Sloan;Simbad; 13; 5; 4; 16; 3; 8; 8; 4; 3;10; 2; 5; 0.38; 5; 2; 2; 6; 1; 3; 3;1;1; 4; 1; 2; 6;1;157.34558;+04.33383
J1100+5329; 0.317; 0.858; 1.52; 2.24;SDSS;Sloan;Simbad; 58;38;17; 31;44; 6;40;14;17;20;29; 4; 0.40;23;15; 7;12;17; 2;16;6;7; 8;11; 2;47;5;165.10162;+53.48719
J1106+5228; 0.096; 0.407; 1.23; 1.68;SDSS;Sloan;Simbad; 22; 8; 6; 20; 9; 6;13; 4; 3;14; 6; 5; 0.42; 9; 3; 2; 8; 4; 2; 5;2;1; 6; 2; 2; 9;1;166.69229;+52.47717
J1112+0826; 0.273; 0.629; 1.49; 1.50;SDSS;Sloan;Simbad; 63; 7; 7; 59;14;14;36; 4; 3;39; 9;10; 0.50;31; 3; 3;29; 7; 7;18;2;1;19; 4; 5;45;4;168.21083;+08.43622
J1134+6027; 0.153; 0.474; 1.10; 2.02;SDSS;Sloan;Simbad; 24;10; 9; 27; 7;17;15; 4; 7;17; 7;11; 0.34; 8; 3; 3; 9; 2; 6; 5;1;2; 6; 2; 4;13;1;173.52454;+60.45375
J1142+1001; 0.222; 0.504; 0.98; 1.91;SDSS;Sloan;Simbad; 30;12; 6; 25;15; 5;19; 6; 6;17; 9; 4; 0.33;10; 4; 2; 8; 5; 2; 6;2;2; 6; 3; 1;17;2;175.73896;+10.01994
J1143-0144; 0.106; 0.402; 1.68; 4.80;SDSS;Sloan;Simbad; 37; 6; 3; 40; 4;13;22; 3; 2;26; 4; 9; 0.24; 9; 1; 1;10; 1; 3; 5;1;1; 6; 1; 2;19;2;175.87350;-01.74167
J1153+4612; 0.180; 0.875; 1.05; 1.16;SDSS;Sloan;Simbad; 12; 8; 1;  8;13; 1; 7; 5; 1; 5; 9; 1; 0.47; 6; 4; 1; 4; 6; 1; 3;3;1; 2; 4; 1;11;1;178.29496;+46.20147
J1204+0358; 0.164; 0.631; 1.31; 1.47;SDSS;Sloan;Simbad; 16; 5; 4; 14; 9; 3;10; 2; 2; 9; 6; 2; 0.47; 8; 2; 2; 7; 4; 1; 5;1;1; 4; 3; 1;17;2;181.18362;+03.96844
J1205+4910; 0.215; 0.481; 1.22; 2.59;SDSS;Sloan;Simbad; 50;15;15; 53;16;31;29; 8; 9;33;13;20; 0.31;15; 5; 5;16; 5;10; 9;2;3;10; 4; 6;25;3;181.41850;+49.17483
J1213+6708; 0.123; 0.640; 1.42; 3.23;SDSS;Sloan;Simbad; 35;10; 8; 37;11;15;21; 5; 4;23; 9; 9; 0.29;10; 3; 2;11; 3; 4; 6;1;1; 7; 3; 3;14;1;183.41908;+67.14139
J1218+0830; 0.135; 0.717; 1.45; 3.18;SDSS;Sloan;Simbad; 35;11; 7; 40; 8;17;21; 6; 4;26; 6;12; 0.30;10; 3; 2;12; 2; 5; 6;2;1; 8; 2; 4;16;2;184.61125;+08.51397
J1250+0523; 0.232; 0.795; 1.13; 1.81;SDSS;Sloan;Simbad; 50;12;15; 48; 4;30;29; 5; 7;28; 7;16; 0.38;19; 5; 6;18; 2;11;11;2;3;11; 3; 6;18;2;192.61775;+05.39697
J1402+6321; 0.205; 0.481; 1.35; 2.70;SDSS;Sloan;Simbad; 65;10; 9; 64;22;25;37; 7; 5;42;14;18; 0.32;21; 3; 3;21; 7; 8;12;2;2;13; 4; 6;29;3;210.61754;+63.35931
J1403+0006; 0.189; 0.473; 0.83; 1.46;SDSS;Sloan;Simbad; 23; 7; 8; 24; 4;15;14; 3; 6;14; 4; 8; 0.35; 8; 2; 3; 8; 1; 5; 5;1;2; 5; 1; 3;10;1;210.87287;+00.11150
J1416+5136; 0.299; 0.811; 1.37; 1.43;SDSS;Sloan;Simbad; 56; 3;11; 46; 4;15;32; 1; 7;31; 2;10; 0.49;27; 1; 5;22; 2; 7;16;1;3;15; 1; 5;37;4;214.09308;+51.60844
J1420+6019; 0.063; 0.535; 1.04; 2.06;SDSS;Sloan;Simbad; 12; 5; 4; 10; 7; 3; 7; 3; 2; 7; 5; 2; 0.32; 4; 2; 1; 3; 2; 1; 2;1;1; 2; 1; 1; 4;1;215.06604;+60.32078
J1430+4105; 0.285; 0.575; 1.52; 2.55;SDSS;Sloan;Simbad; 56; 8;18; 39;16;22;32; 4;11;29; 6;18; 0.36;20; 3; 7;14; 6; 8;12;1;4;11; 2; 7;54;5;217.51708;+41.09919
J1436-0000; 0.285; 0.805; 1.12; 2.24;SDSS;Sloan;Simbad; 55;16;21; 25;38; 4;32; 8;13;16;24; 3; 0.32;18; 5; 7; 8;12; 1;10;3;4; 5; 8; 1;23;2;219.11475;-00.00811
J1443+0304; 0.134; 0.419; 0.81; 0.94;SDSS;Sloan;Simbad; 13; 4; 6; 12; 7; 5; 7; 2; 3; 8; 5; 4; 0.46; 6; 2; 3; 6; 3; 2; 3;1;1; 4; 2; 2; 6;1;220.83175;+03.06894
J1451-0239; 0.125; 0.520; 1.04; 2.48;SDSS;Sloan;Simbad; 29; 6;14; 28;12;14;18; 2;10;19; 8;10; 0.28; 8; 2; 4; 8; 3; 4; 5;1;3; 5; 2; 3; 8;1;222.86746;-02.66011
J1525+3327; 0.358; 0.717; 1.31; 2.90;SDSS;Sloan;Simbad;110;10;33; 86; 8;28;59; 6;16;57; 3;15; 0.30;33; 3;10;26; 2; 8;18;2;5;17; 1; 4;48;5;231.27792;+33.46317
J1531-0105; 0.160; 0.744; 1.71; 2.50;SDSS;Sloan;Simbad; 48; 9; 8; 48;15;16;29; 5; 5;30;11;10; 0.40;19; 4; 3;19; 6; 6;12;2;2;12; 4; 4;27;3;232.95862;-01.09603
J1538+5817; 0.143; 0.531; 1.00; 1.58;SDSS;Sloan;Simbad; 20; 1; 4; 17; 2; 6;11; 1; 1;11; 1; 4; 0.38; 8; 1; 2; 6; 1; 2; 4;1;1; 4; 1; 2; 9;1;234.55383;+58.28606
J1621+3931; 0.245; 0.602; 1.29; 2.14;SDSS;Sloan;Simbad; 60; 8;19; 53; 6;16;34; 4;10;37; 1;15; 0.37;22; 3; 7;19; 2; 6;12;1;4;14; 1; 5;29;3;245.38746;+39.52906
J1627-0053; 0.208; 0.524; 1.23; 1.98;SDSS;Sloan;Simbad; 37; 6; 7; 28;18; 7;21; 4; 3;18;12; 5; 0.37;14; 2; 3;10; 7; 3; 8;1;1; 7; 4; 2;23;2;246.94354;-00.89933
J1630+4520; 0.248; 0.793; 1.78; 1.96;SDSS;Sloan;Simbad; 71; 3; 8; 63; 3;13;40; 1; 4;40; 2;11; 0.47;34; 1; 4;30; 1; 6;19;1;2;19; 1; 5;49;5;247.61733;+45.34342
J1636+4707; 0.228; 0.674; 1.09; 1.68;SDSS;Sloan;Simbad; 27; 8; 5; 21;12; 4;16; 4; 4;13;10; 2; 0.38;10; 3; 2; 8; 5; 2; 6;2;2; 5; 4; 1;18;2;249.01092;+47.12489
J2238-0754; 0.137; 0.713; 1.27; 2.33;SDSS;Sloan;Simbad; 24; 9; 9; 27; 8;13;14; 5; 5;18; 6; 9; 0.34; 8; 3; 3; 9; 3; 4; 5;2;2; 6; 2; 3;13;1;339.66750;-07.91556
J2300+0022; 0.229; 0.464; 1.24; 1.83;SDSS;Sloan;Simbad; 45; 2; 7; 37; 6;14;24; 2; 4;24; 3;10; 0.40;18; 1; 3;15; 2; 6;10;1;2;10; 1; 4;30;3;345.22146;+00.37722
J2303+1422; 0.155; 0.517; 1.62; 3.28;SDSS;Sloan;Simbad; 53;10; 5; 57; 8;18;31; 5; 3;37; 8;13; 0.32;17; 3; 2;18; 3; 6;10;2;1;12; 3; 4;27;3;345.84050;+14.37164
J2321-0939; 0.082; 0.532; 1.60; 4.11;SDSS;Sloan;Simbad; 41;11; 7; 44;11;16;24; 9; 4;29; 8;10; 0.26;11; 3; 2;12; 3; 4; 6;2;1; 8; 2; 3;12;1;350.33721;-09.65286
J2341+0000; 0.186; 0.807; 1.44; 3.15;SDSS;Sloan;Simbad; 55; 8;20; 48;18;32;31; 5;14;32;12;22; 0.30;16; 2; 6;14; 5;10; 9;1;4;10; 4; 7;22;2;355.29821;+00.00519

