#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-11T14:56:54 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-11T14:56:55	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/682/964&tab:{J/ApJ/682/964/table4}&key:source=J/ApJ/682/964/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/682/964/table4
#-order=I
#-out=SDSS
#-out=zFG
#-out=zBG
#-out=Imag
#-out=n_Imag
#-out=Name
#-out=L(V555)
#-out=Re
#-out=b/a
#-out=sigma
#-out=e_sigma
#-out=Mph
#-out=Mul
#-out=Lens
#-out=n_Lens
#-out=Sloan
#Sloan=Sloan
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	
#INFO	publisher=CDS	
#INFO	creator=Bolton A.S.	
#INFO	related_resource=bibcode:2008ApJ...682..964B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	
#INFO	publication_id=doi:10.26093/cds/vizier.16820964	
#INFO	publication_date=2009-11-07	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	SDSS	(a18)	SDSS name (HHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	Imag	(F5.2)	? HST-ACS I_814_ magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	n_Imag	(A1)	[sd] Origin of Imag (3)	[ucd=meta.note]
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
#Column	L(V555)	(F5.1)	? Rest-frame luminosity in V555 band (5)	[ucd=phys.luminosity]
#Column	Re	(F5.2)	? Effective radius (6)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	? Ratio of minor to major axes for the de Vaucouleurs image models	[ucd=phys.angSize;arith.ratio]
#Column	sigma	(I3)	? Velocity dispersion, uncorrected for aperture effects	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	? rms uncertainty on sigma (7)	[ucd=stat.error]
#Column	Mph	(A1)	[ELU] Foreground-galaxy morphology code (8)	[ucd=meta.code;src.morph]
#Column	Mul	(A1)	[MS] Foreground-galaxy multiplicity code (9)	[ucd=meta.code.multip]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
#Column	n_Lens	(A1)	[*] Note on Lens status in notes.dat file (11)	[ucd=meta.note]
#Column	Sloan	(a5)	Show the SDSS spectrum	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right ascension (derived from SDSS) for Eq=J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (derived from SDSS) for Eq=J2000	[ucd=pos.eq.dec;meta.main]
SDSS;zFG;zBG;Imag;n_Imag;Name;L(V555);Re;b/a;sigma;e_sigma;Mph;Mul;Lens;n_Lens;Sloan;_RA;_DE
084706.89+031822.6; 0.1192; 0.4146;16.80;s;J0847+0318; 25.7; 1.91; 0.69;199;12;E;S;X; ;Sloan;131.77871;+03.30628
090315.19+411609.1; 0.4304; 1.0645;17.95;d;J0903+4116;144.7; 1.78; 0.89;   ;  ;E;S;A; ;Sloan;135.81329;+41.26919
090319.52+313951.2; 0.2711; 0.5494;16.77;d;J0903+3139;150.0; 3.03; 0.67;258;15;E;S;B; ;Sloan;135.83133;+31.66422
091053.11+052023.2; 0.2706; 1.0741;     ; ;J0910+0520;     ;     ;     ;   ;  ;E;M;B; ;Sloan;137.72129;+05.33978
091205.31+002901.2; 0.1642; 0.3239;15.57;d;J0912+0029;156.4; 3.87; 0.67;326;16;E;S;A; ;Sloan;138.02212;+00.48367
091244.31+413637.0; 0.0646; 0.1377;15.85;s;J0912+4136; 17.3; 1.24; 0.65;218;11;E;S;X; ;Sloan;138.18462;+41.61028
092559.35+081411.8; 0.1345; 0.2251;17.66;s;J0925+0814; 15.6; 1.44; 0.83;   ;  ;E;S;X; ;Sloan;141.49729;+08.23661
093425.13+603423.5; 0.1011; 0.2440;16.37;s;J0934+6034; 27.5; 1.65; 0.56;208;10;E;S;X; ;Sloan;143.60471;+60.57319
093543.93-000334.8; 0.3475; 0.4670;16.75;s;J0935-0003;268.5; 4.24; 0.90;396;35;E;S;A; ;Sloan;143.93304;-00.05967
093600.77+091335.8; 0.1897; 0.5880;16.52;d;J0936+0913; 90.5; 2.11; 0.81;243;12;E;S;A; ;Sloan;144.00321;+09.22661
094656.68+100652.8; 0.2219; 0.6085;17.09;d;J0946+1006; 73.2; 2.35; 0.96;263;21;E;S;A; ;Sloan;146.73617;+10.11467
095320.42+520543.7; 0.1315; 0.4673;17.26;s;J0953+5205; 20.1; 1.22; 0.88;229;19;E;S;X; ;Sloan;148.33508;+52.09547
095519.72+010144.4; 0.1109; 0.3159;16.97;s;J0955+0101; 18.9; 1.09; 0.39;192;13;L;S;A; ;Sloan;148.83217;+01.02900
095629.78+510006.6; 0.2405; 0.4699;16.68;d;J0956+5100;122.7; 2.19; 0.73;334;17;E;S;A; ;Sloan;149.12408;+51.00183
095900.96+441639.4; 0.2369; 0.5315;16.90;d;J0959+4416; 97.6; 1.98; 0.87;244;19;E;S;A; ;Sloan;149.75400;+44.27761
095944.07+041017.0; 0.1260; 0.5350;16.92;d;J0959+0410; 25.9; 1.39; 0.60;197;13;E;S;A; ;Sloan;149.93362;+04.17139
101622.86+385903.3; 0.1679; 0.4394;16.71;d;J1016+3859; 56.7; 1.46; 0.85;247;13;E;S;A; ;Sloan;154.09525;+38.98425
102026.54+112241.1; 0.2822; 0.5530;17.21;d;J1020+1122;110.5; 1.59; 0.79;282;18;E;S;A; ;Sloan;155.11058;+11.37808
102332.26+423001.8; 0.1912; 0.6960;16.77;d;J1023+4230; 70.1; 1.77; 0.85;242;15;E;S;A; ;Sloan;155.88442;+42.50050
102551.32-003517.5; 0.1589; 0.2764;15.41;s;J1025-0035;181.2; 4.94; 0.76;264;13;E;S;X; ;Sloan;156.46383;-00.58819
102922.94+042001.8; 0.1045; 0.6154;16.13;d;J1029+0420; 36.7; 1.56; 0.52;210;11;E;S;A; ;Sloan;157.34558;+04.33383
102927.53+611505.3; 0.1574; 0.2512;16.06;s;J1029+6115; 88.8; 2.73; 0.83;228;14;E;S;B; ;Sloan;157.36471;+61.25147
103235.84+532234.9; 0.1334; 0.3290;17.05;d;J1032+5322; 25.5; 0.81; 0.44;296;15;L;S;A; ;Sloan;158.14933;+53.37636
103904.22+051335.8; 0.0668; 0.3627;15.38;s;J1039+0513; 28.7; 2.40; 0.87;190;10;E;S;X; ;Sloan;159.76758;+05.22661
103957.78+093351.0; 0.2212; 0.5612;     ; ;J1039+0933;     ;     ;     ;   ;  ;E;M;B; ;Sloan;159.99075;+09.56417
104606.93+415116.1; 0.1025; 0.7584;16.61;d;J1046+4151; 22.0; 1.03; 0.36;191;10;L;S;X; ;Sloan;161.52887;+41.85447
110024.39+532913.9; 0.3171; 0.8581;17.18;s;J1100+5329;143.6; 2.24; 0.58;   ;  ;E;S;A; ;Sloan;165.10162;+53.48719
110308.21+532228.2; 0.1582; 0.7353;16.43;d;J1103+5322; 63.7; 1.95; 0.46;196;12;U;S;A; ;Sloan;165.78421;+53.37450
110646.15+522837.8; 0.0955; 0.4069;15.52;s;J1106+5228; 51.4; 1.68; 0.63;262;13;E;S;A; ;Sloan;166.69229;+52.47717
110817.70+025241.3; 0.1368; 0.3105;17.19;s;J1108+0252; 24.7; 1.17; 0.86;178;14;E;S;B; ;Sloan;167.07375;+02.87814
111250.60+082610.4; 0.2730; 0.6295;17.22;s;J1112+0826;101.9; 1.50; 0.77;320;20;E;S;A; ;Sloan;168.21083;+08.43622
111739.60+053414.0; 0.2285; 0.8230;17.11;s;J1117+0534; 81.4; 2.20; 0.72;277;19;E;S;B; ;Sloan;169.41500;+05.57056
113405.89+602713.5; 0.1528; 0.4742;16.44;s;J1134+6027; 59.1; 2.02; 0.83;239;12;E;S;A; ;Sloan;173.52454;+60.45375
113636.14+042625.0; 0.1282; 0.5341;16.97;s;J1136+0426; 25.4; 0.88; 0.81;258;14;E;S;X; ;Sloan;174.15058;+04.44028
114052.69+564044.5; 0.0674; 0.2968;15.78;s;J1140+5640; 19.6; 1.92; 0.69;163; 9;L;S;X; ;Sloan;175.21954;+56.67903
114257.35+100111.8; 0.2218; 0.5039;17.10;d;J1142+1001; 75.8; 1.91; 0.89;221;22;E;S;A; ;Sloan;175.73896;+10.01994
114329.64-014430.0; 0.1060; 0.4019;14.96;d;J1143-0144;108.5; 4.80; 0.80;269;13;E;S;A; ;Sloan;175.87350;-01.74167
115208.97+005431.0; 0.1062; 0.1590;16.90;s;J1152+0054; 18.5; 0.86; 0.58;235;14;E;S;X; ;Sloan;178.03737;+00.90861
115310.79+461205.3; 0.1797; 0.8751;17.20;d;J1153+4612; 41.9; 1.16; 0.90;226;15;E;S;A; ;Sloan;178.29496;+46.20147
115510.06+623722.4; 0.3751; 0.6690;17.61;s;J1155+6237;141.3; 2.88; 0.77;   ;  ;E;S;X; ;Sloan;178.79192;+62.62289
115905.46+544738.3; 0.0818; 0.2695;15.74;d;J1159+5447; 30.6; 1.90; 0.69;231;12;E;S;X; ;Sloan;179.77275;+54.79397
120324.89+023301.1; 0.1644; 0.4380;16.59;s;J1203+0233; 61.2; 2.70; 0.50;209;11;L;S;X; ;Sloan;180.85371;+02.55031
120444.07+035806.4; 0.1644; 0.6307;16.84;s;J1204+0358; 48.1; 1.47; 0.97;267;17;E;S;A; ;Sloan;181.18362;+03.96844
120540.44+491029.4; 0.2150; 0.4808;16.56;d;J1205+4910;110.4; 2.59; 0.72;281;14;E;S;A; ;Sloan;181.41850;+49.17483
121158.75+455036.6; 0.1110; 0.3170;15.63;d;J1211+4550; 63.6; 2.89; 0.75;231;12;E;S;X; ;Sloan;182.99479;+45.84350
121340.58+670829.0; 0.1229; 0.6402;15.60;d;J1213+6708; 81.1; 3.23; 0.77;292;15;E;S;A; ;Sloan;183.41908;+67.14139
121826.70+083050.3; 0.1350; 0.7172;15.74;d;J1218+0830; 87.2; 3.18; 0.72;219;11;E;S;A; ;Sloan;184.61125;+08.51397
124426.03+011146.8; 0.0725; 0.5600;15.21;s;J1244+0111; 39.2; 2.83; 0.70;172; 9;L;S;X; ;Sloan;191.10846;+01.19633
125028.26+052349.1; 0.2318; 0.7953;16.70;d;J1250+0523;115.4; 1.81; 0.97;252;14;E;S;A; ;Sloan;192.61775;+05.39697
125050.52-013531.7; 0.0871; 0.3526;15.14;s;J1250-0135; 61.7; 2.93; 0.72;246;12;U;S;A;*;Sloan;192.71050;-01.59214
125135.71-020805.2; 0.2243; 0.7843;17.25;s;J1251-0208; 63.8; 2.61; 0.51;   ;  ;L;S;A; ;Sloan;192.89879;-02.13478
125919.05+613408.6; 0.2334; 0.4488;16.85;s;J1259+6134; 98.9; 1.81; 0.79;253;16;E;S;A;*;Sloan;194.82937;+61.56906
131326.70+050657.2; 0.1438; 0.3385;17.10;s;J1313+0506; 29.4; 0.86; 0.45;221;17;L;S;B; ;Sloan;198.36125;+05.11589
133045.53-014841.6; 0.0808; 0.7115;16.99;s;J1330-0148;  9.8; 0.89; 0.46;185; 9;E;S;B; ;Sloan;202.68971;-01.81156
134308.25+602755.0; 0.1198; 0.3199;16.30;s;J1343+6027; 40.6; 2.07; 0.52;178;10;L;S;X; ;Sloan;205.78437;+60.46528
134309.22+605209.7; 0.0343; 0.0880;13.64;s;J1343+6052; 35.8; 4.91; 0.49;206;10;E;S;X; ;Sloan;205.78842;+60.86936
140228.21+632133.5; 0.2046; 0.4814;16.33;d;J1402+6321;122.1; 2.70; 0.77;267;17;E;S;A; ;Sloan;210.61754;+63.35931
140329.49+000641.4; 0.1888; 0.4730;17.11;s;J1403+0006; 52.8; 1.46; 0.81;213;17;E;S;A; ;Sloan;210.87287;+00.11150
141622.34+513630.4; 0.2987; 0.8111;17.57;d;J1416+5136; 87.5; 1.43; 0.76;240;25;E;S;A; ;Sloan;214.09308;+51.60844
142015.85+601914.8; 0.0629; 0.5351;15.08;d;J1420+6019; 32.8; 2.06; 0.57;205;10;E;S;A; ;Sloan;215.06604;+60.32078
143004.10+410557.1; 0.2850; 0.5753;16.87;d;J1430+4105;149.4; 2.55; 0.79;322;32;E;S;A; ;Sloan;217.51708;+41.09919
143039.86+511530.9; 0.1337; 0.4503;16.33;s;J1430+5115; 48.9; 1.81; 0.68;206;10;L;S;X; ;Sloan;217.66608;+51.25858
143213.34+631703.8; 0.1230; 0.6643;15.16;d;J1432+6317;122.5; 5.85; 0.96;199;10;L;S;A; ;Sloan;218.05558;+63.28439
143609.50+493927.3; 0.1225; 0.3145;16.32;s;J1436+4939; 42.4; 2.13; 0.71;212;12;E;S;X; ;Sloan;219.03958;+49.65758
143627.54-000029.2; 0.2852; 0.8049;17.24;s;J1436-0000;112.2; 2.24; 0.75;224;17;E;S;A; ;Sloan;219.11475;-00.00811
144319.62+030408.2; 0.1338; 0.4187;17.06;s;J1443+0304; 26.1; 0.94; 0.62;209;11;E;S;A; ;Sloan;220.83175;+03.06894
144858.24-011614.6; 0.1474; 0.7807;16.65;s;J1448-0116; 48.2; 1.39; 0.41;187;10;L;S;X; ;Sloan;222.24267;-01.27072
145128.19-023936.4; 0.1254; 0.5203;16.09;d;J1451-0239; 61.0; 2.48; 0.98;223;14;E;S;A; ;Sloan;222.86746;-02.66011
145218.94-005820.2; 0.1770; 0.5131;17.28;s;J1452-0058; 39.3; 0.85; 0.77;193;11;E;S;X; ;Sloan;223.07892;-00.97228
151505.14+612848.3; 0.2421; 0.3800;17.31;s;J1515+6128; 70.3; 1.20; 0.66;212;25;E;S;X; ;Sloan;228.77142;+61.48008
152009.08-003457.3; 0.1140; 0.3954;16.88;s;J1520-0034; 23.0; 1.61; 0.59;196;16;L;S;X; ;Sloan;230.03783;-00.58258
152444.37-005209.1; 0.1524; 0.7323;17.39;s;J1524-0052; 31.0; 1.62; 0.82;150;22;E;S;X; ;Sloan;231.18487;-00.86919
152506.70+332747.4; 0.3583; 0.7173;17.11;d;J1525+3327;204.0; 2.90; 0.61;264;26;E;S;A; ;Sloan;231.27792;+33.46317
152524.63+011401.7; 0.1294; 0.6269;16.68;s;J1525+0114; 35.3; 1.59; 0.85;158;10;E;S;X; ;Sloan;231.35262;+01.23381
153150.07-010545.7; 0.1596; 0.7439;16.08;s;J1531-0105;112.6; 2.50; 0.68;279;14;E;S;A; ;Sloan;232.95862;-01.09603
153530.38-003852.3; 0.1613; 0.6585;16.81;s;J1535-0038; 55.9; 1.23; 0.60;254;15;E;S;X; ;Sloan;233.87658;-00.64786
153711.26+412554.6; 0.1423; 0.6811;17.02;d;J1537+4125; 30.3; 2.07; 0.84;204;14;E;S;X; ;Sloan;234.29692;+41.43183
153812.92+581709.8; 0.1428; 0.5312;16.66;s;J1538+5817; 42.0; 1.58; 0.82;189;12;E;S;A; ;Sloan;234.55383;+58.28606
154100.77+413058.7; 0.1423; 0.5033;16.84;d;J1541+4130; 36.2; 1.15; 0.42;215;11;L;S;X; ;Sloan;235.25321;+41.51631
154731.22+572000.0; 0.1883; 0.3958;16.25;s;J1547+5720;109.4; 2.53; 0.89;254;13;E;S;X; ;Sloan;236.88008;+57.33333
155003.12+525846.7; 0.0491; 0.7396;15.23;s;J1550+5258; 17.1; 2.04; 0.75;202;10;E;S;B; ;Sloan;237.51300;+52.97964
160453.49+335546.2; 0.0786; 0.3500;15.36;d;J1604+3355; 40.7; 2.59; 0.63;228;11;E;S;B; ;Sloan;241.22287;+33.92950
161437.74+452253.3; 0.1779; 0.8113;16.83;s;J1614+4522; 56.9; 2.58; 0.90;182;13;E;S;B; ;Sloan;243.65725;+45.38147
161843.10+435327.4; 0.1989; 0.6657;     ; ;J1618+4353;     ;     ;     ;   ;  ;E;M;A;*;Sloan;244.67958;+43.89094
162132.99+393144.6; 0.2449; 0.6021;16.81;s;J1621+3931;113.2; 2.14; 0.73;236;20;E;S;A; ;Sloan;245.38746;+39.52906
162746.45-005357.6; 0.2076; 0.5241;16.91;d;J1627-0053; 85.1; 1.98; 0.85;290;15;E;S;A; ;Sloan;246.94354;-00.89933
163028.16+452036.3; 0.2479; 0.7933;16.79;d;J1630+4520;118.4; 1.96; 0.84;276;16;E;S;A; ;Sloan;247.61733;+45.34342
163339.26-001256.2; 0.0702; 0.2060;15.81;s;J1633-0012; 23.9; 2.28; 0.52;215;11;U;S;X; ;Sloan;248.41358;-00.21561
163602.62+470729.6; 0.2282; 0.6745;17.03;s;J1636+4707; 81.5; 1.68; 0.78;231;15;E;S;A; ;Sloan;249.01092;+47.12489
170013.98+622109.7; 0.1228; 0.3584;16.52;s;J1700+6221; 35.3; 1.53; 0.72;192;10;E;S;X; ;Sloan;255.05825;+62.35269
170216.76+332044.8; 0.1785; 0.4357;16.10;s;J1702+3320;113.2; 3.66; 0.78;256;14;E;S;B; ;Sloan;255.56983;+33.34578
170603.69+330400.9; 0.1682; 0.7736;16.85;d;J1706+3304; 50.5; 1.38; 0.79;225;12;E;S;B; ;Sloan;256.51537;+33.06692
171723.13+573948.2; 0.1144; 0.5748;16.02;s;J1717+5739; 48.9; 2.08; 0.77;227;11;E;S;X; ;Sloan;259.34637;+57.66339
171837.40+642452.2; 0.0899; 0.7366;     ; ;J1718+6424;     ;     ;     ;   ;  ;E;M;A;*;Sloan;259.65583;+64.41450
211112.27-003826.5; 0.1933; 0.4761;     ; ;J2111-0038;     ;     ;     ;   ;  ;E;M;B; ;Sloan;317.80112;-00.64069
211949.65-074201.7; 0.1704; 0.5262;16.76;s;J2119-0742; 78.0; 1.91; 0.64;207;17;E;S;B; ;Sloan;319.95687;-07.70047
212151.12+120312.9; 0.1434; 0.4862;16.92;s;J2121+1203; 36.3; 1.61; 0.59;194;12;L;S;B; ;Sloan;320.46300;+12.05358
214154.68-000112.3; 0.1380; 0.7127;16.83;s;J2141-0001; 35.8; 1.81; 0.37;181;14;L;S;A;*;Sloan;325.47783;-00.02008
220218.32-084648.0; 0.1613; 0.5011;17.13;s;J2202-0846; 36.6; 1.13; 0.34;231;12;L;S;X; ;Sloan;330.57633;-08.78000
220956.93-075447.9; 0.1112; 0.2148;17.58;s;J2209-0754; 11.2; 0.71; 0.49;229;16;E;S;X; ;Sloan;332.48721;-07.91331
222537.34+125957.6; 0.3103; 0.6571;18.09;d;J2225+1259; 66.2; 0.74; 0.75;248;24;E;S;X; ;Sloan;336.40558;+12.99933
223840.20-075456.0; 0.1371; 0.7126;16.20;d;J2238-0754; 61.2; 2.33; 0.74;198;11;E;S;A; ;Sloan;339.66750;-07.91556
224155.71+122814.0; 0.0998; 0.7173;15.92;s;J2241+1228; 40.9; 4.55; 0.54;176;13;L;S;X; ;Sloan;340.48212;+12.47056
230053.15+002238.0; 0.2285; 0.4635;17.07;d;J2300+0022; 83.1; 1.83; 0.80;279;17;E;S;A; ;Sloan;345.22146;+00.37722
230220.18-084049.5; 0.0901; 0.2224;15.53;s;J2302-0840; 47.4; 2.25; 0.80;237;12;E;S;A;*;Sloan;345.58408;-08.68042
230321.72+142217.9; 0.1553; 0.5170;16.10;d;J2303+1422;112.9; 3.28; 0.64;255;16;E;S;A; ;Sloan;345.84050;+14.37164
232120.93-093910.3; 0.0819; 0.5324;14.66;s;J2321-0939; 84.6; 4.11; 0.78;249;12;E;S;A; ;Sloan;350.33721;-09.65286
234111.57+000018.7; 0.1860; 0.8070;16.36;d;J2341+0000; 98.7; 3.15; 0.59;207;13;E;S;A; ;Sloan;355.29821;+00.00519
