#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T11:36:42 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T11:36:42	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/799/148&tab:{J/ApJ/799/148/table1}&key:source=J/ApJ/799/148&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/799/148/table1
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=Re
#-out=n
#-out=Filter
#-out=logM
#-out=sig.A
#-out=e_sig.A
#-out=sig.Re
#-out=e_sig.Re
#-out=tExp
#-out=HCat
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_17990148
#Name: J/ApJ/799/148
#Title: DEIMOS galaxy sample at z~0.7 (Bezanson+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/799/148	
#INFO	publisher=CDS	
#INFO	creator=Bezanson R.	
#INFO	related_resource=bibcode:2015ApJ...799..148B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/799/148	
#INFO	publication_id=doi:10.26093/cds/vizier.17990148	
#INFO	publication_date=2018-01-05	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJ_799_148_table1:
#Name: J/ApJ/799/148/table1
#Title: DEIMOS z~0.7 sample - Galaxy properties
#Column	ID	(A6)	Identifier ({C/U}NNNNN) (1)	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	[0.3/1.1] Redshift	[ucd=src.redshift]
#Column	Re	(F4.1)	[0.6/15.6] Circularized effective radius	[ucd=phys.size.radius]
#Column	n	(F4.1)	[0.7/6] Sersic index (2)	[ucd=stat.fit.param]
#Column	Filter	(A10)	Filter used in the observation ("ACS-F814W" or "WFC3-F160W") (2)	[ucd=instr.setup;obs]
#Column	logM	(F5.2)	[9.9/11.6] Log stellar mass	[ucd=phys.mass]
#Column	sig.A	(I3)	[85/284] Velocity dispersion measured in the aperture	[ucd=phys.veloc.dispersion]
#Column	e_sig.A	(I2)	[3/34] Uncertainty in sigmaA	[ucd=stat.error]
#Column	sig.Re	(I3)	[88/291] Aperture corrected velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sig.Re	(I2)	[3/36] Uncertainty in sigmaRe	[ucd=stat.error]
#Column	tExp	(I5)	[20400/49200] Exposure time	[ucd=time.duration;obs.exposure]
#Column	HCat	(I3)	Sources within 1" from the HST-UDS and -COSMOS catalogs (van der Wel+, 2012, J/ApJS/203/24 and Whitaker+, 2011, J/ApJ/735/86)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	SimbadName	(a27)	Simbad column added by the CDS	[ucd=meta.id]
ID;RAJ2000;DEJ2000;z;Re;n;Filter;logM;sig.A;e_sig.A;sig.Re;e_sig.Re;tExp;HCat;Sloan;SimbadName
C12669;150.139990;+02.376004; 0.902; 1.2; 3.6;WFC3-F160W;10.54;201;12;217;12;49200;  3;Sloan;NMBS C12669
C13266;150.089970;+02.383569; 0.531; 3.4; 3.5;WFC3-F160W;10.93;251; 5;249; 4;49200;  3;Sloan;NMBS C13266
C13569;150.119020;+02.391341; 0.891; 5.5; 3.0;WFC3-F160W;11.08;212;10;207;10;49200;  3;Sloan;NMBS C13569
C14061;150.080270;+02.402724; 0.442; 1.0; 3.2;WFC3-F160W;10.51;197; 5;211; 5;49200;  3;Sloan;NMBS C14061
C14090;150.113590;+02.404104; 0.726; 1.7; 2.3;WFC3-F160W;10.34;179;20;188;21;49200;  3;Sloan;NMBS C14090
C14530;150.090800;+02.413304; 0.727; 3.0; 3.2;WFC3-F160W;10.17; 86;10; 88;10;49200;  3;Sloan;NMBS C14530
C14670;150.124400;+02.415870; 0.842; 1.4; 2.0;WFC3-F160W;10.75;166;17;178;18;49200;  3;Sloan;NMBS C14670
C15461;150.097590;+02.431028; 0.892; 2.1; 4.7;WFC3-F160W;10.52;165;14;172;15;49200;  3;Sloan;NMBS C15461
C15568;150.127820;+02.433395; 0.672; 1.4; 6.0;ACS-F814W ;10.06;187; 9;199;10;49200;  3;Sloan;NMBS C15568
C15873;150.105520;+02.439019; 0.750; 1.4; 1.8;WFC3-F160W;10.56;199; 9;212;10;49200;  3;Sloan;NMBS C15873
C16312;150.141670;+02.446049; 0.898; 3.9; 5.2;WFC3-F160W;10.93;210; 9;210; 9;49200;  3;Sloan;NMBS C16312
C16584;150.151160;+02.451274; 0.895; 3.1; 3.8;WFC3-F160W;10.86;237;22;241;22;49200;  3;Sloan;NMBS C16584
C1750 ;150.095100;+02.193742; 0.426; 3.0; 3.2;WFC3-F160W;10.97;212; 4;211; 4;49200;  3;Sloan;NMBS C1750
C10997;149.932430;+02.346227; 0.691; 7.9; 6.0;ACS-F814W ;11.30;151; 5;144; 5;20400;  1;Sloan;NMBS C10997
C11937;149.924700;+02.361244; 0.732; 3.1; 4.4;ACS-F814W ;11.16;217; 9;219; 9;20400;  1;Sloan;NMBS C11937
C13377;149.894780;+02.386454; 0.723; 2.1; 5.4;ACS-F814W ;11.08;266; 8;276; 8;20400;  1;Sloan;NMBS C13377
C13869;149.903220;+02.398031; 0.758; 6.4; 5.3;ACS-F814W ;10.94;234;19;226;19;20400;  1;Sloan;NMBS C13869
C14419;149.901520;+02.411279; 0.676; 2.9; 5.7;ACS-F814W ;10.67;145; 7;147; 7;20400;  1;Sloan;NMBS C14419
C14674;149.906830;+02.414327; 0.667; 3.4; 5.6;ACS-F814W ;10.95;252; 6;252; 6;20400;  1;Sloan;NMBS C14674
C15009;149.902480;+02.423148; 0.756; 2.1; 1.5;ACS-F814W ;10.38;207;20;215;21;20400;  1;Sloan;NMBS C15009
C15201;149.910270;+02.426713; 0.569; 1.3; 2.7;ACS-F814W ;10.32;194; 9;206;10;20400;  1;Sloan;NMBS C15201
C15379;149.916210;+02.429866; 0.891; 3.7; 5.5;ACS-F814W ;10.98;207;12;207;12;20400;  1;Sloan;NMBS C15379
C16015;149.903210;+02.438847; 0.414; 5.2; 6.0;ACS-F814W ;11.06;218; 5;209; 5;20400;  1;Sloan;NMBS C16015
C16153;149.963940;+02.444232; 0.886; 3.3; 4.3;ACS-F814W ;11.04;225; 9;227;10;20400;  1;Sloan;NMBS C16153
C16439;149.962860;+02.447496; 0.894; 9.6; 6.0;ACS-F814W ;11.56;255;11;240;10;20400;  1;Sloan;NMBS C16439
C16582;149.914540;+02.450862; 0.443; 3.6; 2.9;ACS-F814W ;10.75;156; 5;154; 5;20400;  1;Sloan;NMBS C16582
C16794;149.931090;+02.455498; 0.547; 2.3; 0.9;ACS-F814W ;10.30;196;19;201;19;20400;  1;Sloan;NMBS C16794
C16900;149.965090;+02.458612; 0.890; 1.6; 6.0;ACS-F814W ;10.51;180;17;191;18;20400;  1;Sloan;NMBS C16900
C17241;149.916670;+02.461638; 0.734; 6.3; 6.0;ACS-F814W ;11.01;177; 8;171; 8;20400;  1;Sloan;NMBS C17241
C18111;149.950180;+02.479113; 0.730; 1.6; 3.7;ACS-F814W ;10.59;252;16;266;17;20400;  1;Sloan;NMBS C18111
C18449;149.951210;+02.483094; 0.738; 5.6; 4.0;ACS-F814W ;11.44;284; 8;276; 7;20400;  1;Sloan;NMBS C18449
C18834;149.947470;+02.491786; 0.736; 1.7; 6.0;ACS-F814W ;10.51;178; 9;187;10;20400;  1;Sloan;NMBS C18834
C19894;149.920080;+02.509326; 0.738; 3.5; 6.0;ACS-F814W ;10.93;223; 8;223; 8;20400;  1;Sloan;NMBS C19894
C21861;149.929140;+02.542256; 0.697; 3.2; 6.0;ACS-F814W ;11.08;197; 7;198; 7;20400;  1;Sloan;NMBS C21861
C22777;149.959280;+02.558176; 0.729; 4.5; 1.3;ACS-F814W ;11.02;176;17;174;17;20400;  1;Sloan;NMBS C22777
C23241;149.934390;+02.564554; 0.412; 2.4; 2.5;ACS-F814W ;10.21;113; 5;114; 5;20400;  1;Sloan;NMBS C23241
C23448;149.962240;+02.567799; 0.737;15.6; 6.0;ACS-F814W ;11.21;149;10;136; 9;20400;  1;Sloan;NMBS C23448
C24747;149.957290;+02.592430; 0.886; 1.6; 2.9;ACS-F814W ;10.80;196;16;208;17;20400;  1;Sloan;NMBS C24747
C25085;149.964090;+02.595454; 0.695; 3.8; 6.0;ACS-F814W ;10.89;242;10;241;10;20400;  1;Sloan;NMBS C25085
C25511;149.958940;+02.605771; 0.695; 2.3; 4.8;ACS-F814W ;10.55;163;16;167;16;20400;  1;Sloan;NMBS C25511
C17589;149.916760;+02.469660; 0.755; 1.5; 2.8;ACS-F814W ;10.51;191;12;203;13;20400;  1;Sloan;NMBS C17589
C11435;149.940940;+02.355349; 0.909; 2.5; 4.4;ACS-F814W ;10.92;172;11;177;12;20400;  1;Sloan;NMBS C11435
C13250;149.913800;+02.381931; 0.891;10.4; 5.3;ACS-F814W ;11.49;266;18;250;16;20400;  1;Sloan;NMBS C13250
C13906;149.902870;+02.394283; 0.742; 2.3; 6.0;ACS-F814W ;10.80;209; 7;215; 7;20400;  1;Sloan;NMBS C13906
C19201;149.933050;+02.497925; 0.730; 4.6; 6.0;ACS-F814W ;11.07;182; 6;179; 6;20400;  1;Sloan;NMBS C19201
C19452;149.966110;+02.501409; 0.532; 4.1; 1.9;ACS-F814W ;10.91;195; 8;192; 8;20400;  1;Sloan;NMBS C19452
C19941;149.909830;+02.504593; 0.731; 6.5; 4.7;ACS-F814W ;11.24;225; 7;217; 6;20400;  1;Sloan;NMBS C19941
C20186;149.918290;+02.515190; 0.719; 2.6; 6.0;ACS-F814W ;10.45;153;21;157;21;20400;  1;Sloan;NMBS C20186
C20343;149.913210;+02.512182; 0.725; 7.3; 4.5;ACS-F814W ;11.44;262; 5;250; 5;20400;  1;Sloan;NMBS C20343
C20567;149.929310;+02.518849; 0.731; 5.4; 6.0;ACS-F814W ;10.90;174; 9;169; 8;20400;  1;Sloan;NMBS C20567
C20636;149.952520;+02.521892; 0.671; 2.3; 3.0;ACS-F814W ;10.44;166; 9;170;10;20400;  1;Sloan;NMBS C20636
C21084;149.934490;+02.527959; 0.469; 3.6; 0.7;ACS-F814W ;10.33;142; 9;140; 9;20400;  1;Sloan;NMBS C21084
C21355;149.925750;+02.531674; 0.727; 2.8; 2.6;ACS-F814W ;11.17;218; 6;222; 6;20400;  1;Sloan;NMBS C21355
C21526;149.928000;+02.535099; 0.669; 2.2; 1.3;ACS-F814W ;10.74;282; 8;291; 9;20400;  1;Sloan;NMBS C21526
C21722;149.924050;+02.538428; 0.550; 4.4; 6.0;ACS-F814W ;10.76;190; 6;186; 6;20400;  1;Sloan;NMBS C21722
C22359;149.933680;+02.550471; 0.439; 7.3; 6.0;ACS-F814W ;10.89;178; 5;167; 4;20400;  1;Sloan;NMBS C22359
U34617;034.387392;-05.225489; 0.645; 3.6; 2.5;WFC3-F160W;10.83;171; 7;171; 7;27600;  2;Sloan;[VBH2012] CANDELS UDS  9428
U34621;034.397034;-05.225156; 0.648; 2.7; 3.6;WFC3-F160W;10.84;233; 6;237; 6;27600;  2;Sloan;[VBH2012] CANDELS UDS  9425
U35595;034.412364;-05.218095; 0.646; 2.2; 3.9;WFC3-F160W;10.70;237; 8;244; 9;27600;  2;Sloan;[VBH2012] CANDELS UDS 10744
U35614;034.370962;-05.216513; 0.648; 3.2; 2.8;WFC3-F160W;10.83;236; 7;237; 7;27600;  2;Sloan;[VBH2012] CANDELS UDS 11042
U35812;034.377543;-05.213726; 0.640; 1.1; 3.8;WFC3-F160W;10.20;166; 9;179;10;27600;  2;Sloan;[VBH2012] CANDELS UDS 11361
U36418;034.312471;-05.208146; 0.803; 1.6; 3.1;WFC3-F160W;10.19; 85;12; 90;13;27600;  2;Sloan;[VBH2012] CANDELS UDS 12321
U37266;034.368388;-05.201164; 0.923; 1.9; 3.8;WFC3-F160W;10.45;133;15;139;16;27600;  2;Sloan;[VBH2012] CANDELS UDS 13874
U37305;034.258046;-05.200708; 0.644; 1.9; 1.5;WFC3-F160W;10.10;138;14;144;15;27600;  2;Sloan;[VBH2012] CANDELS UDS 13796
U37448;034.390353;-05.201146; 0.694; 2.9; 5.6;WFC3-F160W;10.88;214; 6;217; 6;27600;  2;Sloan;[VBH2012] CANDELS UDS 15086
U39101;034.337329;-05.185671; 0.650; 0.6; 3.4;WFC3-F160W;10.36;197;11;221;12;27600;  2;Sloan;[VBH2012] CANDELS UDS 16597
U39256;034.401427;-05.183633; 0.496; 1.1; 4.1;WFC3-F160W;10.13;185;10;198;11;27600;  2;Sloan;[VBH2012] CANDELS UDS 16951
U39720;034.312287;-05.179682; 0.669; 2.9; 2.9;WFC3-F160W;10.41;137;18;138;18;27600;  2;Sloan;[VBH2012] CANDELS UDS 17646
U39741;034.232856;-05.179000; 0.820; 0.6; 1.9;WFC3-F160W;10.07;152;18;172;20;27600;  2;Sloan;[VBH2012] CANDELS UDS 17615
U40351;034.244696;-05.174502; 0.627; 2.0; 5.2;WFC3-F160W;10.37;139; 5;144; 5;27600;  2;Sloan;[VBH2012] CANDELS UDS 18652
U40381;034.273910;-05.174563; 0.912; 1.0; 5.2;WFC3-F160W;10.31;197;16;215;18;27600;  2;Sloan;[VBH2012] CANDELS UDS 18511
U40429;034.328664;-05.174875; 0.430; 1.7; 2.6;WFC3-F160W;10.56;179; 4;184; 4;27600;  2;Sloan;[VBH2012] CANDELS UDS 18816
U40638;034.344313;-05.173955; 0.669; 3.9; 3.6;WFC3-F160W;10.85;130; 7;129; 7;27600;  2;Sloan;[VBH2012] CANDELS UDS 19278
U40998;034.222025;-05.169812; 0.646; 2.3; 1.7;WFC3-F160W;10.25; 92; 7; 95; 7;27600;  2;Sloan;[VBH2012] CANDELS UDS 19626
U41037;034.395023;-05.169933; 0.432; 1.6; 4.2;WFC3-F160W;10.39;171; 9;177;10;27600;  2;Sloan;[VBH2012] CANDELS UDS 19672
U41224;034.256416;-05.168275; 0.429; 1.0; 4.6;WFC3-F160W;10.00;125; 9;133;10;27600;  2;Sloan;[VBH2012] CANDELS UDS 19884
U41225;034.238786;-05.168077; 0.821; 3.3; 2.2;WFC3-F160W;10.89;238;18;240;18;27600;  2;Sloan;[VBH2012] CANDELS UDS 19986
U42103;034.264198;-05.161362; 0.505; 3.6; 1.6;WFC3-F160W;10.35;155; 8;153; 8;27600;  2;Sloan;[VBH2012] CANDELS UDS 21353
U43566;034.373569;-05.148341; 0.496; 3.0; 4.1;WFC3-F160W;10.61;193; 6;193; 6;27600;  2;Sloan;[VBH2012] CANDELS UDS 26792
U43091;034.296449;-05.151083; 0.629; 1.9; 4.6;WFC3-F160W;10.61;205; 6;213; 7;27600;  2;Sloan;[VBH2012] CANDELS UDS 22989

